"","VUF001A","VUF001B","VUF002A","VUF002B","VUF003A","VUF003B","VUF004A","VUF004B","VUF005A","VUF005B","VUF006A","VUF006B","VUF007A","VUF007B","VUF008A","VUF008B","VUF009A","VUF009B","VUF010A","VUF010B","VUF011A","VUF011B","VUF012A","VUF012B","VUF013A","VUF013B","VUF015A","VUF015B","VUF016A","VUF016B","VUF017A","VUF017B","VUF018A","VUF018B","VUF019A","VUF019B","VUF020A","VUF020B","VUF021A","VUF021B","VUF022A","VUF023A","VUF023B","VUF024A","VUF024B","VUF025A","VUF025B","VUF026A","VUF026B","VUF027A","VUF028A","VUF028B","VUF029A","VUF029B","VUF030A","VUF030B","VUF031A","VUF031B","VUF032A","VUF032B","VUF034A","VUF034B","VUF036A","VUF036B","VUF037A","VUF037B","VUF038A","VUF038B","VUF039A","VUF039B","VUF040A","VUF041A","VUF041B","VUF042A","VUF042B","VUF044A","VUF044B","VUF045A","VUF045B","VUF047A","VUF047B","VUF048A","VUF048B","VUF049A","VUF049B","VUF050A","VUF050B","VUF101A","VUF101B","VUF102A","VUF102B","VUF104A","VUF104B","VUF105A","VUF105B","VUF106A","VUF106B","VUF107A","VUF107B","VUF108A","VUF108B","VUF109A","VUF109B","VUF110A","VUF110B","VUF111A","VUF111B","VUF112A","VUF112B","VUF114A","VUF114B","VUF115A","VUF115B","VUF116A","VUF116B","VUF117A","VUF118A","VUF119A","VUF119B","VUF119C","VUF120B","VUF122A","VUF122B","VUF125A","VUF128A","VUF128B","VUF129A","VUF129B","VUF130A","VUF130B","VUF131A","VUF131B","VUF132A","VUF132B","VUF133A","VUF133B","VUF135A","VUF136B","VUF137A","VUF137B","VUF139A","VUF140A","VUF140B","VUF142A","VUF142B","VUF143A","VUF143B","VUF144A","VUF144B","VUF145A","VUF145B","VUF146A","VUF146B","VUF147A","VUF148A","VUF148B","VUF149A","VUF150A","VUF151A","VUF151B"
"2011",37.1,37.1,34.8,34.8,29.3,29.3,17.8,17.8,25,25,16.1,16.1,15.7,15.7,10.8,10.8,13.4,13.4,26.9,26.9,28.8,28.8,12.3,12.3,27.1,27.1,22.4,22.4,13.6,13.6,53.6,53.6,17.4,17.4,8.8,8.8,14.6,14.6,29,29,11.7,33,33,34.8,34.8,25.2,25.2,17,17,25.3,11.1,11.1,19.7,19.7,21.6,21.6,13,13,25,25,17.3,17.3,13.2,13.2,16,16,34.5,34.5,44.3,44.3,46.3,27,27,40.2,40.2,20.9,20.9,24.9,24.9,7,7,19,19,27.8,27.8,12.2,12.2,33.9,33.9,18.6,18.6,15.2,15.2,13,13,13.2,13.2,23,23,22.5,22.5,35,35,26.1,26.1,25.8,25.8,22.4,22.4,14,14,15.7,15.7,16,16,18.2,19.3,16.9,16.9,16.9,14.3,10.7,10.7,7.3,33.8,33.8,21.1,21.1,15.5,15.5,15.1,15.1,15.2,15.2,25.6,25.6,9.1,10,35.5,35.5,33.6,31.7,31.7,6.8,6.8,15.8,15.8,36.6,36.6,14.9,14.9,12.4,12.4,23.6,23.1,23.1,32,15.7,22.7,22.7
"2010",37.08,37.07,34.713,34.703,29.299,29.299,17.799,17.799,24.999,24.999,16.099,16.099,15.699,15.699,10.799,10.799,13.399,13.399,26.846,26.823,28.786,28.782,12.299,12.299,27.085,27.067,22.399,22.399,13.599,13.599,53.553,53.498,17.399,17.399,8.799,8.799,14.599,14.599,28.981,28.988,11.699,32.953,32.946,34.757,34.756,25.16,25.165,16.999,16.999,25.278,11.099,11.099,19.699,19.699,21.591,21.593,12.999,12.999,24.972,24.98,17.299,17.299,13.199,13.199,15.999,15.999,34.499,34.499,44.299,44.299,46.299,26.991,26.999,40.177,40.179,20.891,20.894,24.805,24.833,6.999,6.999,18.999,18.999,27.799,27.799,12.199,12.199,33.861,33.866,18.599,18.599,15.199,15.199,12.999,12.999,13.199,13.199,22.999,22.999,22.499,22.499,34.975,34.97,26.087,26.085,25.775,25.755,22.266,22.288,13.999,13.999,15.699,15.699,15.999,15.999,18.183,19.299,16.899,16.899,16.899,14.299,10.699,10.699,7.299,33.766,33.785,21.099,21.099,15.499,15.499,15.099,15.099,15.194,15.199,25.599,25.594,9.099,9.999,35.423,35.473,33.599,31.699,31.676,6.799,6.799,15.799,15.799,36.565,36.57,14.899,14.899,12.399,12.399,23.599,23.099,23.099,31.999,15.699,22.685,22.682
"2009",37.078,37.04,34.712,34.702,29.298,29.298,17.798,17.798,24.998,24.998,16.098,16.098,15.698,15.698,10.798,10.798,13.398,13.398,26.781,26.701,28.751,28.738,12.298,12.298,27.049,27.006,22.398,22.398,13.598,13.598,53.462,53.336,17.398,17.398,8.798,8.798,14.598,14.598,28.957,28.965,11.698,32.921,32.915,34.684,34.675,25.096,25.107,16.998,16.998,25.206,11.098,11.098,19.682,19.688,21.557,21.577,12.998,12.998,24.926,24.941,17.298,17.298,13.198,13.198,15.998,15.998,34.498,34.498,44.298,44.298,46.298,26.966,26.983,40.143,40.169,20.878,20.886,24.735,24.761,6.998,6.998,18.998,18.998,27.798,27.798,12.198,12.198,33.831,33.84,18.598,18.598,15.198,15.198,12.998,12.998,13.198,13.198,22.998,22.998,22.498,22.498,34.953,34.951,26.072,26.067,25.74,25.659,22.042,22.098,13.998,13.998,15.698,15.698,15.998,15.998,18.173,19.287,16.898,16.898,16.888,14.298,10.698,10.698,7.298,33.752,33.77,21.098,21.086,15.498,15.498,15.098,15.098,15.187,15.198,25.566,25.569,9.098,9.998,35.375,35.457,33.598,31.698,31.649,6.798,6.798,15.798,15.798,36.528,36.559,14.898,14.898,12.398,12.398,23.583,23.098,23.098,31.998,15.698,22.667,22.656
"2008",37.051,36.989,34.57,34.53,29.297,29.297,17.797,17.797,24.99,24.992,16.097,16.097,15.697,15.697,10.797,10.797,13.397,13.397,26.658,26.572,28.69,28.677,12.297,12.297,27.015,26.915,22.382,22.397,13.597,13.597,53.305,53.128,17.397,17.397,8.797,8.797,14.597,14.597,28.913,28.928,11.697,32.866,32.876,34.59,34.6,24.995,25.014,16.997,16.997,25.054,11.097,11.097,19.658,19.667,21.512,21.546,12.997,12.994,24.844,24.884,17.272,17.291,13.197,13.197,15.997,15.985,34.48,34.489,44.283,44.277,46.297,26.911,26.957,40.091,40.128,20.86,20.879,24.694,24.673,6.997,6.997,18.986,18.991,27.797,27.791,12.197,12.197,33.767,33.799,18.597,18.597,15.197,15.19,12.997,12.997,13.197,13.197,22.997,22.984,22.497,22.497,34.942,34.9,26.035,26.037,25.686,25.509,21.793,21.928,13.997,13.997,15.697,15.697,15.997,15.997,18.165,19.264,16.897,16.892,16.871,14.297,10.697,10.697,7.297,33.737,33.75,21.083,21.062,15.497,15.497,15.097,15.088,15.183,15.197,25.493,25.524,9.097,9.997,35.295,35.411,33.592,31.697,31.605,6.797,6.797,15.797,15.797,36.468,36.529,14.897,14.897,12.374,12.397,23.563,23.097,23.097,31.997,15.697,22.628,22.606
"2007",37.029,36.925,34.456,34.384,29.296,29.296,17.796,17.796,24.987,24.981,16.096,16.096,15.692,15.696,10.796,10.796,13.396,13.396,26.562,26.466,28.627,28.614,12.296,12.296,26.923,26.795,22.364,22.396,13.596,13.596,53.189,53.021,17.396,17.396,8.796,8.796,14.596,14.596,28.848,28.875,11.696,32.822,32.83,34.534,34.557,24.933,24.946,16.996,16.99,24.908,11.096,11.096,19.614,19.628,21.456,21.498,12.996,12.981,24.732,24.821,17.232,17.255,13.196,13.196,15.988,15.965,34.464,34.468,44.247,44.25,46.259,26.833,26.92,40.019,40.071,20.828,20.871,24.652,24.622,6.996,6.996,18.981,18.983,27.776,27.774,12.196,12.18,33.725,33.763,18.596,18.596,15.196,15.186,12.996,12.996,13.196,13.196,22.996,22.974,22.47,22.496,34.9,34.855,25.997,26.006,25.613,25.376,21.645,21.794,13.996,13.983,15.696,15.696,15.996,15.996,18.142,19.25,16.882,16.877,16.857,14.296,10.696,10.696,7.296,33.718,33.708,21.035,21.004,15.488,15.49,15.096,15.071,15.166,15.196,25.426,25.472,9.096,9.996,35.202,35.362,33.584,31.696,31.514,6.796,6.796,15.796,15.796,36.438,36.508,14.896,14.896,12.365,12.385,23.52,23.072,23.079,31.996,15.67,22.6,22.554
"2006",36.981,36.851,34.415,34.335,29.295,29.295,17.795,17.795,24.974,24.96,16.095,16.095,15.66,15.695,10.795,10.795,13.381,13.383,26.488,26.387,28.567,28.557,12.295,12.295,26.824,26.653,22.302,22.348,13.595,13.595,53.076,52.948,17.395,17.395,8.795,8.795,14.595,14.595,28.782,28.802,11.695,32.762,32.765,34.486,34.521,24.878,24.885,16.995,16.987,24.697,11.084,11.079,19.532,19.552,21.378,21.436,12.965,12.935,24.585,24.752,17.186,17.194,13.195,13.195,15.954,15.911,34.421,34.427,44.181,44.17,46.217,26.706,26.854,39.91,39.99,20.78,20.835,24.548,24.515,6.989,6.995,18.95,18.959,27.723,27.725,12.195,12.157,33.653,33.711,18.595,18.57,15.166,15.137,12.967,12.995,13.195,13.195,22.949,22.938,22.441,22.471,34.857,34.797,25.934,25.929,25.521,25.267,21.501,21.678,13.981,13.941,15.695,15.695,15.969,15.961,18.109,19.188,16.848,16.843,16.807,14.273,10.695,10.687,7.295,33.686,33.638,20.963,20.938,15.463,15.453,15.074,15.042,15.126,15.172,25.341,25.393,9.095,9.995,35.115,35.291,33.567,31.695,31.39,6.795,6.795,15.776,15.78,36.381,36.464,14.895,14.895,12.335,12.369,23.461,23.028,23.045,31.965,15.63,22.564,22.504
"2005",36.949,36.818,34.376,34.296,29.27,29.285,17.785,17.779,24.97,24.946,16.094,16.094,15.656,15.671,10.794,10.794,13.38,13.379,26.438,26.32,28.554,28.512,12.294,12.294,26.798,26.592,22.295,22.347,13.594,13.594,52.995,52.888,17.394,17.394,8.794,8.794,14.594,14.594,28.749,28.784,11.694,32.729,32.726,34.453,34.5,24.831,24.834,16.994,16.983,24.542,11.078,11.07,19.485,19.502,21.319,21.392,12.961,12.917,24.547,24.727,17.177,17.17,13.179,13.169,15.947,15.893,34.381,34.369,44.134,44.114,46.174,26.657,26.828,39.845,39.962,20.758,20.818,24.467,24.43,6.987,6.994,18.94,18.951,27.704,27.706,12.194,12.15,33.631,33.674,18.58,18.562,15.161,15.123,12.966,12.982,13.188,13.194,22.94,22.92,22.43,22.466,34.842,34.762,25.879,25.884,25.469,25.214,21.423,21.612,13.977,13.915,15.676,15.689,15.959,15.942,18.084,19.181,16.837,16.827,16.792,14.268,10.69,10.683,7.294,33.667,33.592,20.95,20.92,15.444,15.435,15.065,15.028,15.105,15.149,25.331,25.384,9.084,9.994,35.038,35.226,33.547,31.694,31.293,6.794,6.794,15.772,15.777,36.315,36.447,14.894,14.894,12.332,12.368,23.42,23.007,23.033,31.949,15.608,22.546,22.468
"2004",36.857,36.71,34.332,34.254,29.226,29.281,17.755,17.755,24.914,24.876,16.093,16.093,15.619,15.637,10.793,10.793,13.34,13.319,26.315,26.171,28.483,28.425,12.293,12.287,26.665,26.377,22.23,22.285,13.572,13.573,52.845,52.764,17.365,17.338,8.781,8.777,14.577,14.568,28.596,28.646,11.67,32.622,32.621,34.401,34.455,24.72,24.705,16.972,16.931,24.359,11.032,11.024,19.377,19.389,21.165,21.316,12.904,12.837,24.402,24.638,17.121,17.087,13.156,13.133,15.86,15.774,34.288,34.273,43.99,43.944,46.059,26.537,26.718,39.669,39.864,20.697,20.759,24.337,24.272,6.947,6.981,18.876,18.895,27.628,27.642,12.171,12.085,33.531,33.578,18.542,18.504,15.124,15.056,12.936,12.937,13.175,13.184,22.875,22.866,22.371,22.432,34.755,34.636,25.783,25.793,25.358,25.067,21.274,21.48,13.957,13.864,15.647,15.649,15.904,15.876,18.023,19.124,16.797,16.736,16.746,14.249,10.673,10.665,7.293,33.573,33.491,20.862,20.829,15.381,15.352,15.022,14.984,15.036,15.095,25.257,25.306,9.05,9.993,34.881,35.137,33.5,31.693,31.082,6.768,6.773,15.731,15.748,36.193,36.368,14.843,14.893,12.292,12.343,23.301,22.911,22.966,31.84,15.525,22.457,22.359
"2003",36.81,36.649,34.299,34.205,29.204,29.224,17.703,17.712,24.877,24.836,16.092,16.073,15.604,15.613,10.786,10.792,13.31,13.275,26.24,26.056,28.43,28.373,12.29,12.263,26.589,26.218,22.175,22.238,13.545,13.542,52.723,52.675,17.338,17.292,8.76,8.75000000000001,14.561,14.539,28.501,28.57,11.645,32.533,32.55,34.362,34.424,24.647,24.621,16.951,16.901,24.161,10.996,10.988,19.297,19.304,21.067,21.257,12.865,12.802,24.308,24.57,17.08,17.029,13.143,13.108,15.817,15.71,34.2,34.191,43.85,43.793,45.946,26.441,26.611,39.559,39.809,20.655,20.711,24.267,24.19,6.909,6.96,18.846,18.867,27.583,27.602,12.152,12.039,33.452,33.498,18.519,18.457,15.089,15.012,12.904,12.901,13.167,13.178,22.805,22.796,22.319,22.394,34.677,34.516,25.696,25.714,25.281,24.956,21.188,21.388,13.94,13.827,15.61,15.611,15.849,15.811,17.97,19.066,16.748,16.667,16.679,14.228,10.652,10.648,7.292,33.484,33.409,20.791,20.765,15.318,15.272,14.991,14.949,14.979,15.052,25.212,25.251,9.016,9.992,34.766,35.071,33.426,31.692,30.87,6.731,6.728,15.693,15.707,36.1,36.31,14.803,14.871,12.261,12.324,23.202,22.856,22.915,31.775,15.444,22.385,22.257
"2002",36.767,36.601,34.268,34.169,29.186,29.19,17.645,17.665,24.824,24.781,16.091,16.059,15.583,15.59,10.772,10.78,13.279,13.24,26.19,25.983,28.386,28.323,12.279,12.234,26.526,26.117,22.11,22.19,13.527,13.521,52.625,52.605,17.32,17.264,8.744,8.73700000000001,14.539,14.511,28.452,28.521,11.628,32.458,32.482,34.332,34.395,24.574,24.546,16.93,16.871,24.055,10.971,10.966,19.23,19.241,21.001,21.212,12.833,12.763,24.251,24.526,17.046,16.988,13.137,13.093,15.781,15.651,34.137,34.122,43.766,43.727,45.873,26.364,26.555,39.489,39.765,20.622,20.681,24.236,24.144,6.873,6.944,18.829,18.85,27.546,27.562,12.144,12.002,33.387,33.428,18.502,18.43,15.06,14.973,12.886,12.874,13.156,13.17,22.744,22.741,22.277,22.364,34.621,34.453,25.64,25.661,25.198,24.88,21.118,21.315,13.925,13.787,15.579,15.587,15.8,15.75,17.932,19.01,16.706,16.624,16.619,14.202,10.625,10.622,7.291,33.433,33.354,20.744,20.713,15.285,15.228,14.963,14.921,14.927,15.012,25.169,25.207,8.991,9.991,34.698,35.013,33.367,31.691,30.678,6.703,6.695,15.664,15.684,36.053,36.284,14.787,14.843,12.241,12.313,23.129,22.815,22.881,31.73,15.391,22.338,22.202
"2001",36.743,36.564,34.251,34.151,29.182,29.189,17.619,17.648,24.799,24.755,16.082,16.055,15.572,15.581,10.768,10.774,13.275,13.228,26.149,25.917,28.369,28.296,12.276,12.233,26.488,26.055,22.073,22.173,13.526,13.514,52.553,52.557,17.319,17.253,8.743,8.73400000000001,14.531,14.504,28.432,28.504,11.619,32.403,32.434,34.302,34.371,24.527,24.505,16.924,16.849,23.994,10.956,10.954,19.183,19.181,20.969,21.188,12.818,12.745,24.224,24.5,17.031,16.972,13.136,13.083,15.774,15.634,34.095,34.091,43.709,43.685,45.817,26.326,26.524,39.421,39.745,20.595,20.662,24.209,24.117,6.856,6.931,18.815,18.838,27.521,27.541,12.137,11.982,33.324,33.39,18.49,18.41,15.041,14.943,12.88,12.858,13.147,13.166,22.724,22.724,22.252,22.346,34.584,34.401,25.605,25.63,25.146,24.826,21.064,21.256,13.918,13.768,15.566,15.58,15.773,15.721,17.9,18.996,16.685,16.606,16.595,14.192,10.624,10.619,7.29,33.406,33.32,20.727,20.692,15.258,15.187,14.946,14.897,14.874,14.968,25.141,25.183,8.985,9.99000000000001,34.645,34.971,33.321,31.69,30.545,6.695,6.684,15.647,15.668,36.019,36.266,14.779,14.827,12.233,12.308,23.091,22.797,22.863,31.702,15.356,22.313,22.174
"2000",36.685,36.497,34.197,34.092,29.14,29.165,17.507,17.553,24.729,24.675,16.068,16.053,15.514,15.528,10.755,10.764,13.24,13.173,26.048,25.754,28.294,28.206,12.268,12.222,26.36,25.86,21.951,22.094,13.472,13.447,52.406,52.459,17.289,17.203,8.704,8.684,14.479,14.437,28.34,28.416,11.581,32.299,32.342,34.258,34.324,24.418,24.381,16.889,16.776,23.871,10.912,10.902,19.07,19.044,20.847,21.116,12.744,12.67,24.105,24.397,16.954,16.888,13.127,13.054,15.712,15.51,33.981,33.988,43.558,43.563,45.634,26.144,26.408,39.26,39.671,20.505,20.574,24.14,24.033,6.817,6.92,18.763,18.782,27.421,27.453,12.117,11.934,33.169,33.285,18.452,18.353,14.991,14.889,12.832,12.782,13.116,13.146,22.651,22.659,22.194,22.291,34.478,34.264,25.502,25.506,25.04,24.713,20.943,21.101,13.899,13.708,15.53,15.556,15.704,15.64,17.842,18.904,16.618,16.544,16.446,14.15,10.584,10.564,7.289,33.317,33.193,20.651,20.626,15.189,15.092,14.911,14.858,14.784,14.906,25.052,25.094,8.943,9.889,34.499,34.872,33.222,31.689,30.318,6.633,6.605,15.591,15.612,35.922,36.205,14.758,14.791,12.206,12.29,23.006,22.741,22.814,31.642,15.283,22.261,22.097
"1999",36.655,36.467,34.182,34.068,29.139,29.157,17.488,17.538,24.698,24.635,16.058,16.046,15.502,15.517,10.736,10.748,13.239,13.161,26.022,25.685,28.282,28.185,12.253,12.204,26.338,25.823,21.911,22.073,13.47,13.446,52.33,52.388,17.282,17.194,8.703,8.68300000000001,14.468,14.43,28.302,28.389,11.58,32.248,32.299,34.233,34.298,24.379,24.344,16.883,16.759,23.812,10.903,10.894,19.027,19.002,20.784,21.083,12.742,12.649,24.079,24.368,16.946,16.887,13.126,13.052,15.708,15.498,33.945,33.953,43.511,43.512,45.586,26.095,26.374,39.207,39.641,20.489,20.552,24.114,24,6.799,6.918,18.751,18.776,27.407,27.435,12.116,11.931,33.121,33.234,18.44,18.331,14.986,14.879,12.831,12.772,13.115,13.145,22.625,22.636,22.171,22.276,34.444,34.22,25.463,25.455,25.001,24.663,20.896,21.06,13.898,13.699,15.513,15.544,15.685,15.614,17.801,18.842,16.596,16.528,16.41,14.137,10.572,10.539,7.268,33.287,33.155,20.638,20.603,15.169,15.066,14.894,14.842,14.752,14.89,25.04,25.07,8.942,9.83700000000001,34.443,34.818,33.16,31.688,30.166,6.617,6.587,15.577,15.599,35.88,36.179,14.752,14.79,12.205,12.289,22.975,22.726,22.795,31.609,15.258,22.239,22.074
"1998",36.558,36.351,34.071,33.915,29.091,29.092,17.336,17.437,24.516,24.439,16.043,16.031,15.381,15.419,10.716,10.727,13.185,13.076,25.821,25.473,28.168,28.04,12.234,12.175,26.193,25.568,21.811,21.925,13.412,13.402,52.053,52.197,17.234,17.119,8.665,8.626,14.408,14.365,28.134,28.24,11.534,32.13,32.209,34.132,34.209,24.18,24.087,16.835,16.684,23.648,10.841,10.828,18.855,18.804,20.529,20.948,12.692,12.552,23.912,24.191,16.867,16.835,13.106,13.023,15.632,15.375,33.747,33.778,43.276,43.319,45.347,25.819,26.212,38.992,39.48,20.381,20.437,23.949,23.804,6.746,6.895,18.657,18.697,27.313,27.342,12.095,11.907,32.975,33.082,18.375,18.229,14.923,14.807,12.782,12.679,13.057,13.106,22.497,22.545,22.066,22.191,34.305,34.042,25.311,25.236,24.844,24.433,20.678,20.884,13.875,13.632,15.447,15.464,15.555,15.487,17.718,18.663,16.473,16.429,16.292,14.065,10.52,10.433,7.246,33.128,32.929,20.52,20.493,15.019,14.906,14.858,14.789,14.612,14.799,24.934,24.969,8.897,9.74600000000001,34.124,34.529,33.047,31.687,29.821,6.502,6.439,15.528,15.545,35.663,36.01,14.696,14.762,12.169,12.266,22.838,22.618,22.683,31.444,15.105,22.111,21.944
