"","VUF001A","VUF001B","VUF002A","VUF002B","VUF003A","VUF003B","VUF004A","VUF004B","VUF005A","VUF005B","VUF006A","VUF006B","VUF007A","VUF007B","VUF008A","VUF008B","VUF009A","VUF009B","VUF010A","VUF010B","VUF011A","VUF011B","VUF012A","VUF012B","VUF013A","VUF013B","VUF015A","VUF015B","VUF016A","VUF016B","VUF017A","VUF017B","VUF018A","VUF018B","VUF019A","VUF019B","VUF020A","VUF020B","VUF021A","VUF021B","VUF022A","VUF023A","VUF023B","VUF024A","VUF024B","VUF025A","VUF025B","VUF026A","VUF026B","VUF027A","VUF028A","VUF028B","VUF029A","VUF029B","VUF030A","VUF030B","VUF031A","VUF031B","VUF032A","VUF032B","VUF034A","VUF034B","VUF036A","VUF036B","VUF037A","VUF037B","VUF038A","VUF038B","VUF039A","VUF039B","VUF040A","VUF041A","VUF041B","VUF042A","VUF042B","VUF044A","VUF044B","VUF045A","VUF045B","VUF047A","VUF047B","VUF048A","VUF048B","VUF049A","VUF049B","VUF050A","VUF050B","VUF101A","VUF101B","VUF102A","VUF102B","VUF104A","VUF104B","VUF105A","VUF105B","VUF106A","VUF106B","VUF107A","VUF107B","VUF108A","VUF108B","VUF109A","VUF109B","VUF110A","VUF110B","VUF111A","VUF111B","VUF112A","VUF112B","VUF114A","VUF114B","VUF115A","VUF115B","VUF116A","VUF116B","VUF117A","VUF118A","VUF119A","VUF119B","VUF119C","VUF120B","VUF122A","VUF122B","VUF125A","VUF128A","VUF128B","VUF129A","VUF129B","VUF130A","VUF130B","VUF131A","VUF131B","VUF132A","VUF132B","VUF133A","VUF133B","VUF135A","VUF136B","VUF137A","VUF137B","VUF139A","VUF140A","VUF140B","VUF142A","VUF142B","VUF143A","VUF143B","VUF144A","VUF144B","VUF145A","VUF145B","VUF146A","VUF146B","VUF147A","VUF148A","VUF148B","VUF149A","VUF150A","VUF151A","VUF151B"
"1948",29.838,28.814,25.632,22.756,22.035,20.547,NA,NA,17.129,15.603,12.328,12.01,10.768,10.571,NA,6.528,8.10500000000001,6.299,17.764,18.674,19.715,20.472,8.716,7.57400000000001,17.528,15.49,NA,NA,NA,NA,37.537,39.748,12.625,12.116,NA,NA,10.659,9.873,20.164,NA,6.97800000000001,23.879,25.014,25.639,25.803,15.54,14.293,12.268,NA,NA,NA,NA,11.883,11.408,NA,NA,NA,NA,15.885,16.14,12.527,13.778,9.532,9.07100000000001,11.381,9.975,21.996,19.459,34.101,33.631,34.103,17.211,16.785,28.225,30.9,15.186,15.195,17.494,17.063,NA,5.147,NA,NA,NA,NA,7.737,6.14000000000001,23.432,24.252,14.85,13.703,12.069,11.544,NA,10.07,9.18100000000001,10.165,16.302,16.524,NA,16.512,24.774,24.298,19.76,18.114,18.576,16.077,15.059,15.351,10.875,NA,11.566,11.124,11.337,10.792,NA,NA,NA,8.397,NA,NA,NA,NA,5.103,NA,NA,14.089,13.768,10.923,9.31799999999999,NA,NA,NA,NA,20.67,20.129,5.784,7.94500000000001,23.105,25.442,24.905,25.578,19.302,NA,NA,13.398,13.206,26.016,27.141,9.35200000000001,10.71,NA,NA,14.361,16.141,16.095,22.202,NA,13.738,13.619
"1947",29.57,28.514,25.42,22.504,21.841,20.35,NA,NA,17.01,15.465,12.226,11.88,10.691,10.495,NA,6.432,7.95700000000001,6.142,17.568,18.57,19.502,20.304,8.477,7.39500000000001,17.299,15.286,NA,NA,NA,NA,37.228,39.486,12.483,12.038,NA,NA,10.585,9.772,20.042,NA,6.93800000000001,23.764,24.914,25.447,25.636,15.459,14.203,12.21,NA,NA,NA,NA,11.814,11.339,NA,NA,NA,NA,15.783,16.069,12.34,13.653,9.449,8.982,11.327,9.93,21.879,19.316,33.928,33.392,33.826,17.062,16.662,27.997,30.692,15.042,15.075,17.341,16.942,NA,5.087,NA,NA,NA,NA,7.613,6.03600000000001,23.191,24.079,14.752,13.608,12.004,11.472,NA,10.02,9.10300000000001,10.115,16.2,16.396,NA,16.395,24.579,24.164,19.662,17.972,18.463,15.962,14.997,15.283,10.784,NA,11.464,11,11.253,10.681,NA,NA,NA,8.226,NA,NA,NA,NA,5.039,NA,NA,14.004,13.683,10.885,9.26699999999999,NA,NA,NA,NA,20.585,20.013,5.608,7.88700000000001,22.974,25.311,24.644,25.491,19.161,NA,NA,13.292,13.097,25.815,26.962,9.254,10.622,NA,NA,14.209,15.993,15.928,22.032,NA,13.647,13.51
"1946",29.203,28.103,25.18,22.26,21.541,20.078,NA,NA,16.824,15.245,12.076,11.691,10.568,10.393,NA,6.359,7.77200000000001,5.925,17.324,18.382,19.25,20.078,8.282,7.23200000000001,17.066,15.069,NA,NA,NA,NA,36.858,39.119,12.274,11.926,NA,NA,10.485,9.639,19.861,NA,NA,23.531,24.726,25.209,25.403,15.381,14.135,12.137,NA,NA,NA,NA,11.759,NA,NA,NA,NA,NA,15.637,15.952,12.091,13.469,9.318,8.852,11.287,9.887,21.706,19.106,33.651,33.078,33.546,16.858,16.468,27.736,30.422,14.836,14.898,17.156,16.746,NA,5.035,NA,NA,NA,NA,7.563,6.00200000000001,22.927,23.864,14.604,13.466,11.901,11.355,NA,9.924,9.02300000000001,10.052,16.062,16.266,NA,16.231,24.279,23.949,19.532,17.818,18.276,15.785,14.915,15.166,10.626,NA,11.321,10.86,11.153,10.558,NA,NA,NA,8.028,NA,NA,NA,NA,4.975,NA,NA,13.88,13.56,10.84,9.21899999999999,NA,NA,NA,NA,20.466,19.86,5.454,7.80800000000001,22.785,25.15,24.274,25.283,18.93,NA,NA,13.14,12.937,25.574,26.733,9.10200000000001,10.524,NA,NA,14.047,15.782,15.708,21.844,NA,13.531,13.394
"1945",28.916,27.758,24.954,22.075,21.307,19.862,NA,NA,16.693,15.066,11.922,11.52,10.404,10.258,NA,NA,7.59600000000001,5.729,17.077,18.201,19.006,19.893,8.109,7.08000000000001,16.892,14.911,NA,NA,NA,NA,36.552,38.842,12.125,11.843,NA,NA,10.389,9.514,19.683,NA,NA,23.317,24.569,25.03,25.234,15.266,13.994,12.026,NA,NA,NA,NA,11.669,NA,NA,NA,NA,NA,15.487,15.799,11.851,13.269,9.148,8.69,11.233,9.844,21.486,18.871,33.371,32.685,33.29,16.657,16.277,27.438,30.17,14.683,14.707,16.984,16.566,NA,4.961,NA,NA,NA,NA,NA,NA,22.677,23.607,14.467,13.316,11.799,11.223,NA,9.818,8.93100000000001,9.97400000000001,15.9,16.111,NA,16.048,23.997,23.715,19.372,17.631,18.093,15.586,14.82,15.052,10.454,NA,11.218,10.732,11.038,10.452,NA,NA,NA,7.753,NA,NA,NA,NA,4.859,NA,NA,13.75,13.398,NA,NA,NA,NA,NA,NA,20.369,19.723,5.181,7.70400000000001,22.635,25.015,23.939,25.052,18.654,NA,NA,12.983,12.73,25.288,26.474,8.95500000000001,10.406,NA,NA,13.918,15.571,15.529,21.6,NA,13.357,13.225
"1944",28.606,27.288,24.676,21.809,21.01,19.594,NA,NA,16.53,14.881,11.735,11.288,10.211,10.081,NA,NA,7.40300000000001,5.529,16.791,17.98,18.691,19.663,NA,NA,16.731,14.768,NA,NA,NA,NA,36.203,38.541,11.947,11.704,NA,NA,10.24,9.364,19.427,NA,NA,23.119,24.36,24.797,25.03,NA,NA,11.906,NA,NA,NA,NA,11.495,NA,NA,NA,NA,NA,15.299,15.635,11.625,13.035,8.986,8.542,11.168,9.78,21.211,18.585,33.004,32.255,33.025,16.443,16.066,27.09,29.854,14.462,14.5,16.758,16.364,NA,4.851,NA,NA,NA,NA,NA,NA,22.387,23.285,14.329,13.119,11.644,11.062,NA,9.683,8.81700000000001,9.86900000000001,15.741,15.965,NA,15.855,23.686,23.438,19.179,17.409,17.879,15.339,14.693,14.896,10.301,NA,11.073,10.546,10.877,10.271,NA,NA,NA,7.469,NA,NA,NA,NA,4.699,NA,NA,13.576,13.219,NA,NA,NA,NA,NA,NA,20.204,19.531,5.003,7.61000000000001,22.393,24.818,23.598,24.802,18.381,NA,NA,12.749,12.497,24.952,26.181,8.79000000000001,10.234,NA,NA,NA,15.343,15.307,21.311,NA,13.194,13.058
"1943",28.217,26.915,24.379,21.549,20.678,19.312,NA,NA,16.324,14.641,11.53,11.024,9.99200000000001,9.882,NA,NA,7.15000000000001,5.252,16.486,17.742,18.387,19.414,NA,NA,16.467,14.536,NA,NA,NA,NA,35.832,38.234,11.738,11.517,NA,NA,10.086,9.166,19.147,NA,NA,22.842,23.976,24.523,24.817,NA,NA,11.736,NA,NA,NA,NA,11.295,NA,NA,NA,NA,NA,15.078,15.427,11.359,12.782,8.747,8.329,11.097,9.706,20.925,18.273,32.701,31.846,32.686,16.249,15.869,26.731,29.555,14.299,14.299,16.509,16.179,NA,NA,NA,NA,NA,NA,NA,NA,22.078,22.906,14.138,12.855,11.418,10.806,NA,9.506,8.64500000000001,9.713,15.518,15.754,NA,15.639,23.329,23.101,18.872,17.083,17.632,14.961,14.476,14.677,10.104,NA,10.877,10.322,10.665,10.071,NA,NA,NA,7.116,NA,NA,NA,NA,NA,NA,NA,13.316,12.973,NA,NA,NA,NA,NA,NA,19.997,19.263,NA,7.49200000000001,22.141,24.594,23.203,24.494,18.09,NA,NA,12.469,12.182,24.54,25.853,8.56000000000001,10.043,NA,NA,NA,15.06,15.007,20.959,NA,12.959,12.83
"1942",27.779,26.439,24.039,21.197,20.283,18.978,NA,NA,16.041,14.337,11.227,10.701,NA,NA,NA,NA,6.86600000000001,4.972,16.116,17.393,18.024,19.111,NA,NA,16.165,14.274,NA,NA,NA,NA,35.355,37.811,11.502,11.291,NA,NA,9.90100000000001,8.918,18.819,NA,NA,22.55,23.622,24.253,24.596,NA,NA,11.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.923,15.278,11.055,12.458,8.484,8.11,11.006,9.62,NA,18,32.228,31.266,32.254,16.03,15.61,26.296,29.251,14,14.086,16.195,15.947,NA,NA,NA,NA,NA,NA,NA,NA,21.763,22.476,13.898,12.521,11.207,10.538,NA,9.3,8.50200000000001,9.57400000000001,15.291,15.53,NA,15.312,22.907,22.672,18.519,16.746,17.352,14.576,14.256,14.468,9.867,NA,10.681,10.037,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,13.139,12.789,NA,NA,NA,NA,NA,NA,19.827,18.985,NA,7.33200000000001,21.82,24.334,22.738,24.215,17.869,NA,NA,12.12,11.859,24.023,25.369,8.31400000000001,9.826,NA,NA,NA,14.7,14.671,20.512,NA,12.669,12.619
"1941",27.481,26.086,23.808,20.938,19.987,18.704,NA,NA,15.865,14.107,11.043,10.496,NA,NA,NA,NA,6.67500000000001,4.748,15.905,NA,17.762,18.861,NA,NA,NA,NA,NA,NA,NA,NA,35.083,37.547,11.312,11.151,NA,NA,9.73700000000001,8.73,18.589,NA,NA,22.307,23.364,24.059,24.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.805,12.212,8.263,7.91400000000001,10.971,9.556,NA,17.822,31.935,30.933,31.928,15.866,15.448,26.002,29.04,13.74,13.935,15.961,15.739,NA,NA,NA,NA,NA,NA,NA,NA,21.505,22.215,13.755,12.344,11.05,10.31,NA,9.142,8.38800000000001,9.46500000000001,15.116,15.336,NA,15.099,22.599,22.402,18.297,16.527,17.152,14.329,14.105,14.31,9.682,NA,10.524,9.824,NA,NA,NA,NA,NA,6.366,NA,NA,NA,NA,NA,NA,NA,13.006,12.641,NA,NA,NA,NA,NA,NA,19.695,18.748,NA,7.21900000000001,21.598,24.122,22.38,23.987,17.653,NA,NA,11.883,11.608,23.632,25.032,8.21500000000001,9.618,NA,NA,NA,14.43,14.411,20.216,NA,NA,NA
"1940",27.084,25.723,23.533,20.656,19.579,18.277,NA,NA,15.629,13.818,10.812,10.245,NA,NA,NA,NA,6.43700000000001,4.512,15.557,NA,17.365,18.596,NA,NA,NA,NA,NA,NA,NA,NA,34.703,37.167,11.015,10.988,NA,NA,9.50500000000001,8.609,18.343,NA,NA,22,22.983,23.787,24.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.444,11.936,7.966,7.584,10.93,9.454,NA,NA,31.607,30.533,31.545,15.574,15.242,25.682,28.782,13.408,13.619,15.729,15.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.587,12.105,10.861,10.082,NA,8.986,8.25300000000001,9.351,14.885,15.131,NA,14.86,22.288,22.156,18.038,16.286,16.916,14.001,13.926,14.114,9.502,NA,10.414,9.658,NA,NA,NA,NA,NA,5.973,NA,NA,NA,NA,NA,NA,NA,12.847,12.426,NA,NA,NA,NA,NA,NA,19.589,18.586,NA,7.09100000000001,21.389,23.883,22.086,23.793,17.457,NA,NA,11.621,11.337,23.163,24.597,NA,9.539,NA,NA,NA,14.079,14.049,19.888,NA,NA,NA
"1939",26.683,25.325,23.26,20.358,19.255,17.939,NA,NA,15.403,13.59,10.524,9.98899999999999,NA,NA,NA,NA,6.13900000000001,4.242,15.284,NA,17.006,18.285,NA,NA,NA,NA,NA,NA,NA,NA,34.277,36.736,10.779,10.786,NA,NA,9.31400000000001,8.385,18.101,NA,NA,21.669,22.63,23.496,23.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.103,11.639,NA,NA,10.82,9.353,NA,NA,31.181,30.046,31.107,15.398,15.062,25.355,28.487,13.194,13.431,15.479,15.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.345,11.815,10.622,9.82,NA,8.778,8.10800000000001,9.19,14.67,14.92,NA,14.613,21.94,21.817,17.783,16.045,16.648,13.702,13.715,13.881,NA,NA,10.254,9.461,NA,NA,NA,NA,NA,5.601,NA,NA,NA,NA,NA,NA,NA,12.668,12.246,NA,NA,NA,NA,NA,NA,19.42,18.386,NA,6.94800000000001,21.121,23.641,21.759,23.623,17.278,NA,NA,11.329,11.059,22.7,24.121,NA,9.321,NA,NA,NA,13.703,13.637,19.506,NA,NA,NA
